Stream,Duration,Avg Viewers,Max Viewers,Followers,Views,Title,Games
2024-09-08 02:38,546,44,81,0,0,LSS練習【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
2024-09-08 22:55,19,11,16,0,0,【LSS配信テスト】 牧場物語ワクワクアニマルマーチ any% New Game,
2024-09-09 00:47,517,77,152,0,0,LSS練習 EST：9H【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
2024-09-11 05:27,177,22,28,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-09-16 03:01,63,5,5,0,0,【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
2024-09-16 19:12,212,20,54,3,0,LSS直前練習【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
2024-09-20 07:24,130,9,11,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-09-21 07:19,165,11,17,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-09-23 08:10,144,7,10,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-09-23 23:45,129,13,15,0,0,【JP/mini EN】【RTA/speedrun】馬と和解します @bonkotu25,
2024-09-25 00:32,122,25,30,0,0,【JP/mini EN】【RTA/speedrun】馬と和解します @bonkotu25,
2024-09-25 23:30,134,26,57,1,0,【JP/mini EN】【RTA/speedrun】馬と和解します @bonkotu25,
2024-09-27 06:16,138,11,16,0,0,【JP/mini EN】【RTA/speedrun】馬と和解します @bonkotu25,
2024-09-29 22:41,263,60,126,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-10-01 00:00,145,11,16,0,0,【JP/mini EN】【RTA】Rune Factory 4 speed run beat 2nd arc @bonkotu25,
2024-10-02 07:21,153,21,35,1,0,JAWSに向けて練習【JP/mini EN】【RTA】Rune Factory 4 speed run beat 2nd arc @bonkotu25,
2024-10-03 23:36,148,17,22,0,0,【JP/mini EN】【RTA/speedrun】牧場物語 再会のミネラルタウン Marriage @bonkotu25,
2024-10-04 08:02,92,10,12,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-10-05 00:11,153,17,25,0,0,【JP/mini EN】【RTA/speedrun】牧場物語 再会のミネラルタウン Marriage @bonkotu25,
2024-10-05 22:43,261,12,18,0,0,【JP/mini EN】【RTA/speedrun】牧場物語 再会のミネラルタウン Marriage @bonkotu25,
2024-10-07 00:50,94,22,29,1,0,【JP/mini EN】【RTA/speedrun】牧場物語 再会のミネラルタウン Marriage @bonkotu25,
2024-10-07 23:03,281,17,27,0,0,【JP/mini EN】【RTA】作業してからRune Factory 4 speed run beat 2nd arc @bonkotu25,
2024-10-08 23:48,206,11,18,0,0,DS環境構築 @bonkotu25,
2024-10-09 23:49,75,5,5,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-10-11 01:28,126,10,15,0,0,【JP/mini EN】ノープラン @bonkotu25,
2024-10-12 00:16,258,10,13,0,0,ふしチャレ【JP/mini EN】リズとルカの魔法のカバン @bonkotu25,
2024-10-14 22:42,112,7,9,0,0,【JP/mini EN】作業しながら過去の環境を構築するところまで @bonkotu25,
2024-10-15 07:12,142,12,16,0,0,【JP/mini EN】【RTA】Rune Factory 4 speed run beat 2nd arc @bonkotu25,
2024-10-15 23:18,106,10,13,0,0,【JP/mini EN】環境構築中@bonkotu25,
2024-10-16 07:53,101,6,7,0,0,【JP/mini EN】環境構築中@bonkotu25,
2024-10-17 07:40,54,6,6,0,0,【JP/mini EN】環境構築中@bonkotu25,
2024-10-18 08:22,82,9,10,0,0,【JP/mini EN】環境構築中@bonkotu25,
2024-10-19 06:26,218,11,14,-1,0,【JP/mini EN】動作検証として普通に遊びます@bonkotu25,
2024-10-19 16:54,190,6,6,1,0,【JP/mini EN】動作検証として普通に遊びます@bonkotu25,
2024-10-19 20:22,232,11,13,0,0,【JP/mini EN】【RTA/speedrun】牧場物語ワクワクアニマルマーチ any% @bonkotu25,
2024-10-22 00:41,94,10,14,0,0,【JP/mini EN】チャート直したり作業中 @bonkotu25,
2024-10-22 05:42,252,20,32,-1,0,【JP/mini EN】【RTA/speedrun】街森 金網 golden net @bonkotu25,
2024-10-23 07:31,33,6,6,0,0,【JP/mini EN】【RTA/speedrun】適当に転がしてる@bonkotu25,
2024-10-24 06:04,210,21,44,3,0,【JP/mini EN】【RTA/speedrun】街森 金網 golden net @bonkotu25,
2024-10-28 07:25,139,22,27,0,0,【JP/mini EN】【RTA】Rune Factory 4 speed run beat 2nd arc @bonkotu25,
2024-10-29 07:59,115,11,15,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-11-01 08:16,88,10,12,0,0,【JP/mini EN】デイリー消化とか @bonkotu25,
2024-11-02 08:59,125,13,15,0,0,【JP/mini EN】【RTA】Rune Factory 4 speed run beat 2nd arc @bonkotu25,
2024-11-07 07:42,92,13,16,0,0,【JP/mini EN】鯖の動作を見つつ時間まで@bonkotu25,
2024-11-07 22:44,130,11,13,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run any%を初見でやってみたい @bonkotu25,
2024-11-08 06:35,179,6,6,0,0,【JP/mini EN】なんかする。@bonkotu25,
2024-11-08 20:32,182,9,13,0,0,コロステ → JAWS振り返り（RF4SP） @bonkotu25,
2024-11-10 22:18,206,10,13,0,0,【JP/mini EN】【RTA/speedrun】街森 金網 golden net @bonkotu25,
2024-11-11 08:13,51,8,11,0,0,【JP/mini EN】自鯖で適当に遊びます @bonkotu25,
2024-11-12 07:41,113,9,11,0,0,【JP/mini EN】自鯖で適当に遊びます @bonkotu25,
2024-11-12 23:56,188,9,12,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run any% @bonkotu25,
2024-11-14 07:08,156,12,16,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run っぽく走る any% Daria @bonkotu25,
